referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado,carpeta_imagen,fondo_o_procedencia,tipo_clasificacion,criterio_clasificacion,uso_recomendado
14,1958 - 1959,"Hachero en la plaza San Juan, apreciándose al fondo el bar Gaztelumendi (1958 ó...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=14,https://www.irun.org/fototeca/fcruzpe1/14.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
144,-,"Botella y vasos en porcelana, decorados con motivos del Alarde de Irun ...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=144,https://www.irun.org/fototeca/fcruzpe1/144.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
152,-,Botellas y vasos en porcelana decorados con motivos del Alarde de Irun...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=152,https://www.irun.org/fototeca/fcruzpe1/152.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
153,-,Botellas y vasos en porcelana decorados con motivos del Alarde de Irun...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=153,https://www.irun.org/fototeca/fcruzpe1/153.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
192,1960 - 1960,Pintura representando una propuesta de Apolo Pérez Carbonie para la reforma de...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=192,https://www.irun.org/fototeca/fcruzpe1/192.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
193,1960 - 1960,Pintura de Agustín Lazard representando una propuesta para la reforma de la...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=193,https://www.irun.org/fototeca/fcruzpe1/193.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
311,1946 - 1948,Fiestas populares. Carroza de Regimiento de Fortificación 2º Batallón. C/Fermín...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=311,https://www.irun.org/fototeca/fcruzpe1/311.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
312,1946 - 1948,Fiestas populares. Carroza de Regimiento de Fortificación 2º Batallón.,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=312,https://www.irun.org/fototeca/fcruzpe1/312.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
1438,1973 - 1973,"Retrato de Francisco Rodríguez Saura (""Patxo""), General del Alarde emtre 1969 y...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1438,https://www.irun.org/fototeca/fcruzpe1/1438.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
1551,-,Cantinera de la Escolta de Caballería durante la concentración en la plaza San...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1551,https://www.irun.org/fototeca/fcruzpe1/1551.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
1552,1942 - 1942,"Felicitación del Gobernador Civil al General del Alarde, Eusebio Pedrós, con...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1552,https://www.irun.org/fototeca/fcruzpe1/1552.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
1553,1953 - 1953,"Carlos Molinero, Comandante del Alarde, durante la concentración en la plaza...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1553,https://www.irun.org/fototeca/fcruzpe1/1553.jpg,fcruzpe1,Fondo Kruz,inferido,Carpeta técnica de imagen: fcruzpe1,requiere_confirmacion_archivo
