referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado
14,1958 - 1959,"Hachero en la plaza San Juan, apreciándose al fondo el bar Gaztelumendi (1958 ó...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=14,https://www.irun.org/fototeca/fcruzpe1/14.jpg
144,-,"Botella y vasos en porcelana, decorados con motivos del Alarde de Irun ...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=144,https://www.irun.org/fototeca/fcruzpe1/144.jpg
152,-,Botellas y vasos en porcelana decorados con motivos del Alarde de Irun...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=152,https://www.irun.org/fototeca/fcruzpe1/152.jpg
153,-,Botellas y vasos en porcelana decorados con motivos del Alarde de Irun...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=153,https://www.irun.org/fototeca/fcruzpe1/153.jpg
192,1960 - 1960,Pintura representando una propuesta de Apolo Pérez Carbonie para la reforma de...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=192,https://www.irun.org/fototeca/fcruzpe1/192.jpg
193,1960 - 1960,Pintura de Agustín Lazard representando una propuesta para la reforma de la...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=193,https://www.irun.org/fototeca/fcruzpe1/193.jpg
311,1946 - 1948,Fiestas populares. Carroza de Regimiento de Fortificación 2º Batallón. C/Fermín...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=311,https://www.irun.org/fototeca/fcruzpe1/311.jpg
312,1946 - 1948,Fiestas populares. Carroza de Regimiento de Fortificación 2º Batallón.,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=312,https://www.irun.org/fototeca/fcruzpe1/312.jpg
1438,1973 - 1973,"Retrato de Francisco Rodríguez Saura (""Patxo""), General del Alarde emtre 1969 y...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1438,https://www.irun.org/fototeca/fcruzpe1/1438.jpg
1551,-,Cantinera de la Escolta de Caballería durante la concentración en la plaza San...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1551,https://www.irun.org/fototeca/fcruzpe1/1551.jpg
1552,1942 - 1942,"Felicitación del Gobernador Civil al General del Alarde, Eusebio Pedrós, con...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1552,https://www.irun.org/fototeca/fcruzpe1/1552.jpg
1553,1953 - 1953,"Carlos Molinero, Comandante del Alarde, durante la concentración en la plaza...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1553,https://www.irun.org/fototeca/fcruzpe1/1553.jpg
1554,1942 - 1942,"Antonio Arregui Lasa, Comandante del Alarde de San Marcial, en la plaza San...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1554,https://www.irun.org/fototeca/fcruzpe1/1554.jpg
1555,1942 - 1942,Eusebio Pedrós luciendo la medalla que le fue impuesta con motivo de su 25...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1555,https://www.irun.org/fototeca/fcruzpe1/1555.jpg
1556,-,"Integrantes y Cantinera de la II Compañía del Pueblo del Alarde de San Marcial,...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1556,https://www.irun.org/fototeca/fcruzpe1/1556.jpg
1557,1939 - 1940,"Conchita Olaguibel, cantinera de la Escolta de Caballeria del Alarde en 1939 y...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1557,https://www.irun.org/fototeca/fcruzpe1/1557.jpg
1558,1942 - 1942,Imposición por el Alcalde a Eusebio Pedrós de la medalla conmemorativa del 25...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1558,https://www.irun.org/fototeca/fcruzpe1/1558.jpg
1559,1950 - 1950,"Ana María Gil-Rodrigo, Cantinera de la escolta de Caballería del Alarde (1950)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1559,https://www.irun.org/fototeca/fcruzpe1/1559.jpg
1560,-,Cantinera e integrantes de la escolta de Caballería del Alarde en la plaza...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1560,https://www.irun.org/fototeca/fcruzpe1/1560.jpg
1561,1942 - 1942,Saluda de Eusebio Pedrós luciendo la medalla que le fue impuesta con motivo de...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1561,https://www.irun.org/fototeca/fcruzpe1/1561.jpg
1562,-,Llamada a Capitanes en una de las ediciones del Alarde de la década de 1940,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1562,https://www.irun.org/fototeca/fcruzpe1/1562.jpg
1563,1950 - 1950,Saluda de Eusebio Pedrós luciendo la medalla que le fue impuesta en 1942 con...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1563,https://www.irun.org/fototeca/fcruzpe1/1563.jpg
1564,1942 - 1944,"El General, el Tambor Mayor y el Cabo de Hacheros en una de las ediciones del...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1564,https://www.irun.org/fototeca/fcruzpe1/1564.jpg
1565,1948 - 1948,Saluda de Eusebio Pedrós luciendo la medalla que le fue impuesta en 1942 con...,https://www.irun.org/archivo/fototeca_ficha.asp?texto=alarde+irun&ref=&ano=&offset=&referencia=1565,https://www.irun.org/fototeca/fcruzpe1/1565.jpg
