ID,Año,Fecha,Publicacion,Fecha o numero fuente,Tipo documental,Ruta,Estado del indice real,Calidad de lectura,Entradas curadas,Pasajes automaticos,Pasajes OCR,Paginas detectadas,Temas,Uso en la web,Resumen para indice,Observaciones
d7be999e09d9,1880,1880-06-25,Urumea,1880-06-25,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1880/1880-06-25 - Urumea.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
c20cf41b05f7,1880,1880-06-27,El Bidasoa,1880-06-27,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1880/1880-06-27 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,0,0,,"fiesta moderna, permiso, reanudacion",Integrado en Historia,Anuncio del restablecimiento de la funcion popular del 30,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
443db4bc95ad,1880,1880-06-30,El Urumea,1880-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1880/1880-06-30 - El Urumea.pdf,Catalogado; pendiente de indice humano,Alta: texto extraido del PDF,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
387bdfb31cef,1880,1880-07-03,El Urumea,1880-07-03,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1880/1880-07-03 - El Urumea.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,3,0,,"Alarde, artilleria, mando, musica, reanudacion",Integrado en Historia | Referencia localizada por barrido textual,"Cronica posterior: no se celebraba desde 1866, canon concedido y Baron de Ona",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
248b60e0e5d4,1880,1880-07-04,El Bidasoa,1880-07-04,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1880/1880-07-04 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,2,0,,"Alarde, banda, cantineras, companias, musica, reanudacion, ritual",Integrado en Historia y Banda | Referencia localizada por barrido textual,"Cronica de la fiesta: organizacion en pocos dias, diana, companias, revista, caballeria, procesion y cantinera de la musica",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
2cfb2ee962cb,1880,1880-07-16,El Liberal,1880-07-16,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1880/1880-07-16 - El Liberal.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,4,0,,"bandera, cantinera de la musica, companias, descargas, escolta, mandos, misa, musica, ritual",Integrado en Historia y Banda | Referencia localizada por barrido textual,"""San Marcial en Irun. 1522 y 1880""",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
7a3deffe4dbb,1881,1881-06-10,El Bidasoa,1881-06-10,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1881/1881-06-10 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,2,4,0,,"armas de epoca, bandera, companias, cronica anual, general, mandos, musica, organizacion, trajes",Integrado en Historia | Referencia localizada por barrido textual,"Debate sobre dar mas formalidad al Alarde | Cronica con vispera, iluminacion, banda, retreta, musica con cantinera, Roman S. de Vicuna, bandera y descargas",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
3cada49a76fd,1881,1881-07-03,El Bidasoa,1881-07-03,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1881/1881-07-03 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,2,0,0,,"armas de epoca, bandera, cronica anual, general, musica, organizacion, trajes",Integrado en Historia,"Debate sobre dar mas formalidad al Alarde | Cronica con vispera, iluminacion, banda, retreta, musica con cantinera, Roman S. de Vicuna, bandera y descargas",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
9ff3e67babd7,1882,1882-06-25,El Bidasoa,1882-06-25,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-06-25 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,0,0,,"cantineras, romeria, tradicion, trajes",Integrado en Historia,Debate sobre conservar costumbres y critica a la perdida de originalidad,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
a09f97ba8838,1882,1882-07-02,El Bidasoa,1882-07-02,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,5,0,,"Alarde, cantineras, companias, mandos, ritual, romeria, tradicion, trajes",Integrado en Historia | Referencia localizada por barrido textual,Debate sobre conservar costumbres y critica a la perdida de originalidad,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
457e3863855b,1882,1882-07-09,El Bidasoa,1882-07-09,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-09 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,1,0,,"cantineras, mandos, romeria, tradicion, trajes",Integrado en Historia | Referencia localizada por barrido textual,Debate sobre conservar costumbres y critica a la perdida de originalidad,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
0db1e2e713f7,1883,1883-07-01,El Bidasoa,1883-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1883/1883-07-01 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,4,0,,"Alarde, cantineras, companias, dianas, memoria popular, musica, ritual, tambores",Integrado en Historia y Musica | Referencia localizada por barrido textual,"""De ayer a hoy"", ""A San Marcial"" y ""Algo de la semana""",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
7d2a829e132a,1884,1884-06-29,El Bidasoa,1884-06-29,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1884/1884-06-29 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,2,2,"1, 2","1522, cabildos, companias, ermita, mosqueteros, recorrido, voto",Integrado en Historia | Referencia localizada por OCR visual; revisar contra imagen original,Explicacion historica de la fiesta en la vispera de San Marcial,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
0838061997b1,1884,1884-07-06,El Bidasoa,1884-07-06,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1884/1884-07-06 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"1522, cabildos, ermita, mosqueteros, voto",Integrado en Historia,Explicacion historica de la fiesta en la vispera de San Marcial,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
