Publicacion,Fecha / numero,Articulo o pasaje,Temas,Uso,Localizacion / fuente,Extracto
Ordenanzas,2016,ORDENANZA DEL ALARDE DE,"mandos, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN Aprobada el 22 de noviembre 2016 El proyecto de revisión de esta Ordenanza ha sido un trabajo de varios años. Han participado una comisión creada al efecto, la Junta de Mandos, la Junta del Alarde, así como las comisiones de las compañías y unidades de participación restringida. El resultado es esta Ordenanza que actualiza la de 2001 y que se edita en euskera y castellano. Gracias a todas las personas que han colaborado en esta labor y gracias a todas las personas que, de una forma u otra, hacen nuestro Alarde. ÍNDICE"
Ordenanzas,2016,ANEXO Partituras de las músicas del Alarde de San Marcial...................................... 32,"cantineras, mandos, musica, companias, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"Disposiciones adicionales ............................................................................................ 31 ANEXO Partituras de las músicas del Alarde de San Marcial...................................... 32 ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN Artículo 1º • El Alarde de San Marcial es la rememoración de la muestra de armas y revista de gentes de las milicias forales. • Desde 1804 se unificaron este Alarde y el Voto emitido por los cabildos eclesiástico y secular de Irun, para ser celebrado el día 30 de junio de cada año. • El Alarde estará constituido por varones adscritos a sus diferentes compañías y unidades de particip"
Ordenanzas,2016,ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN,"mandos, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"En Irun, a 22 de noviembre 2016 6 ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN • Aceptado el cargo, el General adoptará las medidas que estime pertinentes y dará las órdenes oportunas para que las fuerzas se presenten en su día convenientemente instruidas y disciplinadas. Comandante de Infantería Artículo 10º • El Comandante de Infantería es el jefe nato de la infantería y será nombrado por el General, previa consulta a los capitanes de infantería, dando cuenta posterior a la Junta de Mandos y a la Junta del Alarde para su conocimiento. • Será el colaborador más directo del General y deberá reunir los mismos requisitos que los exigidos para el"
Ordenanzas,2016,ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN,mandos,Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"En Irun, a 22 de noviembre 2016 7 ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN ayudantes, a excepción del de Estado Mayor, deben ser preferentemente miembros del arma a la que representan. • De entre estos, el de Infantería desempeñará el cargo de Comandante si, por cualquier circunstancia, el designado para este puesto, no pudiese participar. • En caso de que no pudiesen participar ni el General ni el Comandante, el Ayudante de Estado Mayor desempeñará la función de General y el Ayudante de Infantería la de Comandante. • Las órdenes e instrucciones que los ayudantes dicten serán entendidas en todo"
Ordenanzas,2016,De la Escolta de Caballería del General,"cantineras, mandos, musica, companias, ritual, suspensiones/cambios",Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"• Los toques de cornetín se efectuarán a las órdenes del General y, en ausencia de éste, del Comandante. De la Escolta de Caballería del General Artículo 13º • Será facultad del General el nombramiento de la Escolta de Caballería, de conformidad con las normas que establezca el Reglamento de Régimen Interno de la Escolta de Caballería. • Estará compuesta por un capitán, un teniente, un alférez, una cantinera, un sargento, tres cabos y trece soldados. • La organización interna de la Escolta de Caballería se efectuará de acuerdo con lo que al efecto disponga el Reglamento de la misma, aprobado previamente por la Junta del Alarde y ratificado po"
Ordenanzas,2016,• COMANDANTE DE INFANTERÍA:,"cantineras, mandos",Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"§ Frac negro, fajín rojo con borlas de oro, bastón de mando, guantes blancos, botas negras con espolines y bicornio o sombrero negro de dos picos. • COMANDANTE DE INFANTERÍA: § Boina roja, chaqueta negra, camisa blanca, pantalón de montar blanco, guantes blancos, botas de montar negras con espuelas, faja y corbata rojas con pañuelo del mismo color en el bolsillo superior de la chaqueta por la mañana y al cuello por la tarde y sable. • AYUDANTES: § El de Infantería: guerrera y pantalón rojo con vivos amarillos, boina roja, guantes blancos, botas de montar negras con espuelas, cordón y portaórdenes dorados y sable. § El de Artillería: guerrera "
Ordenanzas,2016,• INFANTERÎA:,"mandos, musica",Referencia localizada por barrido textual,/home/gaizka/Alarde/Ordenanzas/2016.pdf,"§ En la formación de la tarde el cabo llevará pañuelo rojo al cuello y la Escuadra pañuelo blanco. • INFANTERÎA: § Boina roja, camisa blanca, chaqueta negra, pantalón blanco, calcetín blanco, alpargatas del mismo color con cinta negra, faja y corbata rojas con pañuelo del mismo color en el bolsillo superior de la chaqueta por la mañana, y al cuello por la tarde. Los soldados llevarán escopeta exceptuando los componentes de las bandas de música. § Los capitanes, tenientes y alféreces llevarán guantes blancos y sable. En Irun, a 22 de noviembre 2016 15 ORDENANZA DEL ALARDE DE SAN MARCIAL DE IRUN § El cornetín de órdenes llevará el mismo uniform"
Programa de fiestas,1951(Frances),":. .,.­ SAN PEDRO Y SAN MARCIAL",Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Programas de fiestas/1951(Frances).pdf,"~. .- ,; .... .•.•. :. .,.­ SAN PEDRO Y SAN MARCIAL C-O(Jr'L IU l L~'lA . hl J,:,' . hU I! 1951 - rtTEs TRADITIO NNELLES - IRUN (Espagne)"
Programa de fiestas,1951(Frances),"et D 'lt utres décrironr d ans l es pa)'s vaísins /'hisrorique de /'Alarde el le"" con·",Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Programas de fiestas/1951(Frances).pdf,"Coupons a écheance fixe /'a r€mis daos le ranf[ ef, I'an derllier en ,1950, iI ni! fuf qu 'un soMal p iJltr:"" l e.' 30/datlJ el heureux de /'élre aulanf que de fiffurer parml i es I'edeffes inu:l71iHio­ nales les p lus app/Budies . et D 'lt utres décrironr d ans l es pa)'s vaísins /'hisrorique de /'Alarde el le"" con· ditions o i) se déroule ce1fe m a nifesratlon annueIJe, Vo l!:1 freS sommairemC'n! IMlJ1>.'r Location de coffres forts 'e cadre : Dans un creu ,~, qui est deja cantabrlque , se rassemblent I~ tro up.,~ /J OU"
Programa de fiestas,1951(Frances),des cantinieres de !'Alarde !lJ,Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Programas de fiestas/1951(Frances).pdf,"a'lrun mals quel sourire que celui 1 __ pour hommes et femmes. des cantinieres de !'Alarde !lJ El dans celte armée . lradihon­ ,~ nelle, si colorée. Ugurent une, deux,"
