Documento,Publicacion,Fecha / numero,Caracteres extraidos,Estado de texto,Pasajes localizados
/home/gaizka/Alarde/Alarde de San Marcial origen y evolucion - Sagrario Arrizabalaga Marin - Recortes/Recortes.pdf,Alarde de San Marcial origen y evolucion - Sagrario Arrizabalaga Marin - Recortes,Recortes,103,sin texto suficiente,0
/home/gaizka/Alarde/Cuentas municipales/ELITXU_0540_ARCHIVO - ENTRADA_1503_001.pdf,Cuentas municipales,ELITXU_0540_ARCHIVO - ENTRADA_1503_001,1,sin texto suficiente,0
/home/gaizka/Alarde/Ordenanzas/2016.pdf,Ordenanzas,2016,84364,texto extraido,7
/home/gaizka/Alarde/Programas de fiestas/1906.pdf,Programa de fiestas,1906,2,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1912.pdf,Programa de fiestas,1912,9,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1913.pdf,Programa de fiestas,1913,9,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1913CENTENARIO.pdf,Programa de fiestas,1913CENTENARIO,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1914.pdf,Programa de fiestas,1914,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1916.pdf,Programa de fiestas,1916,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1917.pdf,Programa de fiestas,1917,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1919.pdf,Programa de fiestas,1919,8,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1920.pdf,Programa de fiestas,1920,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1921.pdf,Programa de fiestas,1921,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1922.pdf,Programa de fiestas,1922,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1923A.pdf,Programa de fiestas,1923A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1923B.pdf,Programa de fiestas,1923B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1923C.pdf,Programa de fiestas,1923C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1923D.pdf,Programa de fiestas,1923D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1924A.pdf,Programa de fiestas,1924A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1924B.pdf,Programa de fiestas,1924B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1924C.pdf,Programa de fiestas,1924C,9,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1925A.pdf,Programa de fiestas,1925A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1925A_Bolsillo.pdf,Programa de fiestas,1925A_Bolsillo,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1925B.pdf,Programa de fiestas,1925B,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1925B_Bolsillo.pdf,Programa de fiestas,1925B_Bolsillo,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1925C_Bolsillo.pdf,Programa de fiestas,1925C_Bolsillo,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1925D_Bolsillo.pdf,Programa de fiestas,1925D_Bolsillo,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1926A.pdf,Programa de fiestas,1926A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1926B.pdf,Programa de fiestas,1926B,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1926C.pdf,Programa de fiestas,1926C,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1926D.pdf,Programa de fiestas,1926D,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1927A.pdf,Programa de fiestas,1927A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1927B.pdf,Programa de fiestas,1927B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1927C.pdf,Programa de fiestas,1927C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1927D.pdf,Programa de fiestas,1927D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1928A.pdf,Programa de fiestas,1928A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1928B.pdf,Programa de fiestas,1928B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1928C.pdf,Programa de fiestas,1928C,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1928D.pdf,Programa de fiestas,1928D,8,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1929A.pdf,Programa de fiestas,1929A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1929B.pdf,Programa de fiestas,1929B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1929C.pdf,Programa de fiestas,1929C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1929D.pdf,Programa de fiestas,1929D,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1930A.pdf,Programa de fiestas,1930A,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1930B.pdf,Programa de fiestas,1930B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1930C.pdf,Programa de fiestas,1930C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1930D.pdf,Programa de fiestas,1930D,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1931A.pdf,Programa de fiestas,1931A,6,sin texto suficiente,0
